country,iso3,year,population,residence,varname_short,varname_long,percent,income_id_short,income_id,sdg_region
Angola,AGO,2005,19291.161,Rural,wat_bas,At least basic drinking water,19.490685448877091,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Rural,wat_lim,Limited drinking water (>30 mins),10.459870879873639,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Rural,wat_unimp,Unimproved source,20.376992369078831,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Rural,wat_surf,Surface water,49.67245130217043,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Rural,wat_safe,Safely managed drinking water,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Rural,wat_accessible,Accessible on premises,4.2237412655944784,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Rural,wat_available,Available when needed,22.25725626059624,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Rural,wat_free,Free from contamination,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Rural,wat_piped,Piped water,11.01877552587646,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Rural,wat_nonpiped,Non-piped water,18.931780802874279,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Urban,wat_bas,At least basic drinking water,62.497221508434627,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Urban,wat_lim,Limited drinking water (>30 mins),22.44674263400206,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Urban,wat_unimp,Unimproved source,7.5849155403678878,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Urban,wat_surf,Surface water,7.4711203171954139,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Urban,wat_safe,Safely managed drinking water,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Urban,wat_accessible,Accessible on premises,31.928788208237592,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Urban,wat_available,Available when needed,35.945834991713681,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Urban,wat_free,Free from contamination,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Urban,wat_piped,Piped water,40.756510050083307,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Urban,wat_nonpiped,Non-piped water,44.187454092353391,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Total,wat_bas,At least basic drinking water,43.574343997640597,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Total,wat_lim,Limited drinking water (>30 mins),17.172518383916302,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Total,wat_unimp,Unimproved source,13.21343306313346,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Total,wat_surf,Surface water,26.03970455530964,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Total,wat_safe,Safely managed drinking water,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Total,wat_accessible,Accessible on premises,19.738566858455219,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Total,wat_available,Available when needed,29.922859124420139,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Total,wat_free,Free from contamination,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Total,wat_piped,Piped water,27.671905829775209,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2005,19291.161,Total,wat_nonpiped,Non-piped water,33.074956551781703,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Rural,wat_bas,At least basic drinking water,20.386035867859331,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Rural,wat_lim,Limited drinking water (>30 mins),10.62683936249784,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Rural,wat_unimp,Unimproved source,20.631491580994862,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Rural,wat_surf,Surface water,48.355633188647971,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Rural,wat_safe,Safely managed drinking water,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Rural,wat_accessible,Accessible on premises,4.373553513910843,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Rural,wat_available,Available when needed,23.046700829304719,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Rural,wat_free,Free from contamination,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Rural,wat_piped,Piped water,11.03900994156928,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Rural,wat_nonpiped,Non-piped water,19.973865288787891,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Urban,wat_bas,At least basic drinking water,63.772627918817541,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Urban,wat_lim,Limited drinking water (>30 mins),21.541030691376921,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Urban,wat_unimp,Unimproved source,7.5743267028270793,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Urban,wat_surf,Surface water,7.1120146869784548,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Urban,wat_safe,Safely managed drinking water,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Urban,wat_accessible,Accessible on premises,32.067749186595059,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Urban,wat_available,Available when needed,36.102279024783371,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Urban,wat_free,Free from contamination,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Urban,wat_piped,Piped water,41.702319161101741,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Urban,wat_nonpiped,Non-piped water,43.611339449092718,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Total,wat_bas,At least basic drinking water,45.013999603898263,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Total,wat_lim,Limited drinking water (>30 mins),16.822170395615629,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Total,wat_unimp,Unimproved source,13.21972541047742,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Total,wat_surf,Surface water,24.944104590008688,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Total,wat_safe,Safely managed drinking water,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Total,wat_accessible,Accessible on premises,20.093886160754749,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Total,wat_available,Available when needed,30.457568247885789,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2006,20015.279,Total,wat_free,Free from contamination,-,LMIC,Lower middle income,Sub-Saharan Africa
